V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,偏差値
2,1,0,0,0,3,0,1,0,0,0,3,0,0,0,0,42.76
1,1,1,2,2,1,2,2,2,0,0,0,0,0,1,0,47.666
2,1,0,1,2,2,3,3,0,0,4,2,0,0,2,0,48.988
0,1,1,0,0,0,1,0,0,0,2,1,0,0,1,0,41.701
3,0,0,3,0,2,4,0,0,0,2,4,3,0,0,0,44.453
1,0,0,0,1,3,0,0,1,1,2,2,1,0,0,1,45.801
1,0,2,1,2,1,2,1,1,0,4,3,1,0,1,3,48.442
0,2,0,0,0,2,0,0,2,2,3,1,2,0,2,0,51.052
2,2,3,3,0,2,3,2,3,2,2,2,2,1,2,0,55.835
1,0,2,1,0,0,0,0,0,0,1,1,2,0,0,0,36.201
0,1,1,2,4,1,3,1,0,0,3,2,0,0,1,0,46.719
2,3,1,3,0,2,3,2,3,3,3,2,3,1,1,0,56.704
2,1,1,2,3,2,2,0,1,1,2,3,3,0,1,1,50.753
2,1,1,1,1,2,3,1,3,4,3,3,2,2,1,2,56.583
2,1,1,1,2,0,1,1,0,0,1,3,3,0,2,0,47.705
2,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,38.21
4,2,1,2,3,3,1,1,1,1,3,3,2,0,1,0,52.067
0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,31.687
0,3,1,0,0,0,2,0,3,2,3,3,2,0,0,0,49.803
4,2,2,4,2,4,3,2,2,2,2,2,4,2,2,2,58.852
2,2,2,1,3,2,2,1,2,1,2,1,1,2,2,2,55.154
3,2,1,4,1,2,4,2,2,2,3,3,2,2,2,0,56.821
2,0,4,5,0,0,4,0,0,0,3,4,0,0,1,0,44.615
1,0,1,1,2,2,1,1,0,0,2,2,3,0,1,0,45.953
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,26.21
1,1,2,3,0,3,3,1,3,1,3,1,3,1,0,0,52.469
4,2,1,1,0,5,2,2,0,0,1,1,4,0,1,3,51.225
3,1,1,0,0,0,1,1,1,1,3,3,1,0,1,0,48.178
1,1,2,3,1,2,2,1,2,3,3,3,3,1,3,0,55.942
4,2,0,5,3,3,2,0,1,1,2,2,2,0,2,1,53.389
4,4,2,2,2,4,4,1,0,4,3,4,5,3,4,1,65.293
1,1,1,0,0,3,0,0,1,3,3,4,4,0,0,0,48.819
4,4,3,4,3,5,5,1,1,2,4,4,4,0,1,0,57.548
0,0,4,0,0,0,0,0,2,0,2,0,2,0,0,0,38.458
0,3,1,2,3,2,3,1,1,3,0,3,2,0,1,0,52.621
1,2,1,0,0,1,1,0,1,1,2,1,2,0,0,0,46.379
1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,29.809
1,1,1,2,4,4,1,3,0,0,3,3,4,0,1,0,50.005
2,2,0,2,0,3,0,1,0,0,3,4,4,0,1,5,51.34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2,2,1,3,3,0,2,4,1,3,5,4,3,0,0,0,52.476
2,0,3,2,0,3,2,1,2,2,2,3,0,0,2,0,51.695
1,1,1,2,2,2,3,0,2,3,3,4,2,0,1,2,52.965
2,3,4,1,3,2,3,0,1,2,2,2,3,1,1,1,54.481
1,2,0,1,3,3,2,2,0,0,3,4,3,0,1,5,52.023
4,3,1,1,3,3,1,3,2,3,3,3,3,0,0,3,56.586
3,4,2,3,1,5,3,1,2,3,4,3,4,0,1,0,57.542
5,0,0,2,0,2,3,1,0,0,3,3,0,0,0,0,43.576
4,2,2,2,0,2,2,2,2,2,3,3,2,0,0,0,52.055
2,2,0,3,0,4,2,0,2,1,4,5,2,0,1,2,53.479
2,1,1,4,3,0,3,0,1,0,3,2,1,0,1,2,49.246
1,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,55.022
0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2,1,1,2,1,2,2,3,1,2,3,3,2,1,2,1,54.22
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20
1,0,0,2,1,3,3,0,0,0,3,2,0,0,0,0,42.113
5,2,1,3,1,3,3,3,2,1,1,1,3,0,2,2,55.275
0,0,5,1,0,2,2,0,3,2,4,2,0,1,1,1,52.042
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,27.598
0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,21.014
2,2,1,2,1,3,0,2,2,3,2,3,1,0,0,0,51.922
2,0,4,0,0,2,1,1,0,0,4,3,1,0,1,0,45.433
2,1,2,2,1,1,2,0,0,0,1,1,2,0,0,0,44.076
3,4,5,3,0,3,0,0,3,1,5,2,0,0,0,0,52.362
1,0,0,1,0,1,3,1,0,0,4,2,1,0,0,0,41.778
1,2,1,0,0,0,2,0,0,1,3,2,1,0,0,0,44.371
3,3,3,3,3,3,1,4,3,4,3,4,4,3,1,1,62.45
1,1,1,1,0,2,2,0,0,0,0,0,1,0,1,0,44.297
1,2,0,0,0,0,0,0,0,0,4,4,3,0,0,0,43.091
4,2,2,1,0,4,2,1,3,2,5,2,1,0,0,0,52.707
1,1,0,4,0,2,2,3,4,3,4,1,0,0,2,0,53.785
0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,37.24
3,3,5,0,0,4,1,0,5,5,5,4,4,0,3,4,63.73
2,2,3,3,4,0,1,1,0,0,1,0,4,0,1,0,48.259
2,4,2,3,1,3,0,0,4,4,5,5,4,4,3,0,65.134
2,3,0,0,3,3,0,0,2,1,3,3,0,0,0,3,51.851
2,1,1,3,3,1,3,0,1,1,2,3,2,0,0,1,49.156
2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,38.329
1,3,1,2,3,4,4,0,1,3,3,3,5,0,2,0,56.341
3,2,2,3,1,2,2,3,2,3,3,3,3,0,2,0,55.614
0,0,1,0,0,0,0,1,1,1,3,2,2,0,0,0,43.641
2,0,1,3,0,1,3,0,0,0,0,0,0,0,0,0,37.362
0,0,1,1,1,0,1,1,0,0,1,2,0,0,0,0,37.26
5,4,3,5,2,5,5,4,2,1,4,4,5,2,2,2,63.498
1,0,4,3,1,1,2,2,1,1,1,1,3,1,1,2,51.235
2,2,3,2,2,1,3,0,2,2,3,3,2,0,1,1,52.93
0,0,1,3,2,1,2,0,1,1,3,2,1,0,0,0,45.508
4,3,5,3,0,0,1,5,1,1,1,1,1,0,0,0,48.963
3,1,3,0,0,1,0,1,2,1,3,2,3,0,0,1,49.183
1,1,1,1,1,1,3,0,0,0,0,0,0,0,1,0,43.936
2,2,3,2,2,2,1,0,2,3,3,3,3,1,0,3,55.044
2,1,1,2,1,2,2,1,0,0,2,2,2,0,0,1,46.906
2,1,2,3,3,2,4,1,2,1,2,2,2,0,1,0,51.47
2,2,3,2,2,3,2,2,1,2,3,3,2,0,1,3,53.888
0,0,3,1,1,1,0,0,1,0,0,0,0,0,0,0,38.858
3,3,2,3,1,3,3,3,2,3,2,2,3,2,2,1,59.069
3,3,0,2,1,2,3,2,0,0,1,2,3,0,0,0,48.538
3,3,1,1,1,2,0,4,0,0,5,0,5,0,0,1,49.577
3,1,1,0,1,1,0,3,0,0,3,1,1,0,1,0,46.23
2,2,2,0,2,2,2,2,0,0,0,0,3,0,3,0,49.979
2,2,1,1,1,3,2,3,1,3,3,3,3,0,2,1,55.007
1,0,2,2,2,0,3,1,0,0,0,3,1,0,2,1,46.689
3,1,2,1,5,3,3,1,2,2,4,2,3,0,2,3,55.509
1,1,2,1,3,1,2,1,1,1,1,1,1,1,1,1,50.565
4,4,5,3,1,3,4,4,3,2,3,3,3,1,2,2,60.698
3,0,3,1,1,2,4,0,1,1,2,0,3,0,1,0,48.524
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
0,1,1,1,2,2,2,1,3,3,2,2,2,1,3,2,56.398
2,2,3,4,0,2,5,4,2,2,0,2,2,0,0,0,52.002
2,1,1,5,0,0,3,0,1,1,5,3,2,0,0,1,48.665
3,1,3,1,0,1,3,0,0,0,3,3,0,0,0,0,44.173
1,0,3,1,1,0,1,0,0,0,3,2,1,0,1,0,43.003
0,0,5,0,0,0,0,0,0,0,0,0,4,0,5,0,38.344
2,0,0,3,2,2,0,0,0,2,3,3,2,0,0,0,45.864
0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,30.874
1,0,1,1,1,0,3,1,0,0,1,1,2,0,1,0,43.72
2,1,1,0,3,3,3,0,1,0,2,3,1,0,0,0,47.117
2,2,2,3,0,1,2,1,0,0,4,4,1,0,1,1,49.693
0,1,1,1,1,1,2,0,2,2,2,2,2,0,1,0,49.286
2,3,2,2,2,3,3,0,0,0,2,0,2,0,1,0,49.491
4,3,2,4,3,4,5,2,2,0,0,0,4,3,2,0,59.368
2,1,3,2,1,3,2,1,1,0,3,3,1,0,2,1,51.449
1,1,2,1,0,2,0,3,1,0,4,4,4,0,1,3,50.738
3,3,1,5,1,3,1,2,0,0,2,1,4,1,1,0,53.316
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
1,5,0,2,0,3,5,3,5,5,1,3,5,5,5,3,72.179
1,1,3,2,2,1,3,1,0,2,1,1,2,0,1,2,49.64
2,2,0,0,3,4,1,0,3,3,5,4,1,0,2,0,55.643
4,2,3,1,1,1,1,2,0,0,2,3,2,1,2,2,53.261
0,0,0,2,0,0,2,0,0,0,2,2,0,0,2,0,40.734
0,0,0,0,0,0,4,3,0,0,2,0,0,0,0,0,32.194
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
4,5,4,3,4,5,1,3,5,3,3,4,5,1,5,5,72.252
3,0,1,0,2,4,3,3,1,0,3,3,3,2,3,1,56.443
3,4,3,2,2,4,4,3,3,3,3,3,4,2,3,3,63.921
1,0,0,2,2,1,3,0,3,2,0,1,1,1,0,1,49.903
1,1,1,1,1,1,2,1,1,0,2,2,1,0,1,0,47.373
1,3,1,4,1,4,4,3,4,3,3,4,3,2,3,3,63.36
2,2,3,2,2,2,3,2,1,0,2,4,3,0,1,3,52.776
1,0,0,3,0,0,4,0,1,0,0,0,3,0,0,0,41.434
0,1,0,1,3,0,5,0,3,1,0,0,5,0,0,0,47.198
1,1,0,0,3,1,5,0,2,3,4,1,4,1,4,0,55.423
