Extrmt1,Extrmt2,Extrmt3,Extrmt4,Extrmt5,Dscrmn
-1.517,-0.317,0.877,1.818,3.525,1.092
-0.467,0.105,0.725,1.27,2.319,3.189
-2.72,1.061,2.796,5.209,6.724,0.482
-1.178,-0.112,1.044,2.44,3.484,1.041
-0.558,0.495,1.464,2.896,4.563,1.037
-0.921,-0.276,0.643,1.591,2.484,1.778
-1.534,-0.695,0.594,2.276,3.461,0.943
-0.357,0.681,1.26,2.177,3.868,1.381
-0.277,0.183,0.83,1.495,1.842,3.02
-0.189,0.291,0.797,1.549,2.111,2.58
-1.874,-0.845,0.38,2.03,3.221,0.922
-1.502,-0.502,0.508,1.756,3.546,1.184
-1.287,-0.461,0.447,1.37,2.38,1.403
0.512,0.864,1.381,1.693,1.927,3.757
-0.221,0.413,1.052,1.631,1.859,3.433
0.274,0.824,1.292,2.242,2.471,1.895
